,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'anim'}),frozenset({'favorit'}),0.03315363881401617,0.7159703504043127,0.023517520215633424,0.709349593495935,0.9907527498804399,-0.00021950218321575496,0.9772208923152319
1,frozenset({'favorit'}),frozenset({'anim'}),0.7159703504043127,0.03315363881401617,0.023517520215633424,0.03284705882352942,0.9907527498804402,-0.00021950218321575496,0.9996830077463098
2,frozenset({'color'}),frozenset({'favorit'}),0.02446091644204852,0.7159703504043127,0.02324797843665768,0.9504132231404958,1.3274477394263489,0.005734687520433591,5.727931266846355
3,frozenset({'favorit'}),frozenset({'color'}),0.7159703504043127,0.02446091644204852,0.02324797843665768,0.03247058823529412,1.327447739426349,0.005734687520433591,1.00827847887191
4,frozenset({'favorit'}),frozenset({'comment'}),0.7159703504043127,0.04292452830188679,0.029380053908355797,0.04103529411764706,0.9559870717517777,-0.0013526356608859237,0.9980299231320496
5,frozenset({'comment'}),frozenset({'favorit'}),0.04292452830188679,0.7159703504043127,0.029380053908355797,0.6844583987441131,0.9559870717517777,-0.0013526356608859237,0.9001337651365814
6,frozenset({'favorit'}),frozenset({'game'}),0.7159703504043127,0.06900269541778976,0.0488544474393531,0.06823529411764706,0.9888786764705881,-0.0005494365777638996,0.9991764001197962
7,frozenset({'game'}),frozenset({'favorit'}),0.06900269541778976,0.7159703504043127,0.0488544474393531,0.7080078124999999,0.988878676470588,-0.0005494365777638996,0.9727303049698452
8,frozenset({'give'}),frozenset({'favorit'}),0.028436657681940702,0.7159703504043127,0.0204177897574124,0.7180094786729857,1.0028480624477278,5.798599254582329e-05,1.007231194364538
9,frozenset({'favorit'}),frozenset({'give'}),0.7159703504043127,0.028436657681940702,0.0204177897574124,0.02851764705882353,1.0028480624477278,5.798599254582329e-05,1.0000833668019162
10,frozenset({'guess'}),frozenset({'favorit'}),0.04319407008086253,0.7159703504043127,0.031132075471698113,0.7207488299531981,1.0066741304946316,0.00020640198051452563,1.0171117619599752
11,frozenset({'favorit'}),frozenset({'guess'}),0.7159703504043127,0.04319407008086253,0.031132075471698113,0.04348235294117647,1.0066741304946316,0.00020640198051452563,1.000301387916052
12,frozenset({'ill'}),frozenset({'favorit'}),0.08942048517520215,0.7159703504043127,0.06233153638814016,0.6970610399397137,0.9735892548428565,-0.001690879716072978,0.9375804602325302
13,frozenset({'favorit'}),frozenset({'ill'}),0.7159703504043127,0.08942048517520215,0.06233153638814016,0.08705882352941176,0.9735892548428565,-0.001690879716072978,0.9974131283519048
14,frozenset({'im'}),frozenset({'favorit'}),0.03477088948787062,0.7159703504043127,0.025808625336927224,0.742248062015504,1.036702234382125,0.0009136994064268648,1.101949617980261
15,frozenset({'favorit'}),frozenset({'im'}),0.7159703504043127,0.03477088948787062,0.025808625336927224,0.03604705882352941,1.036702234382125,0.0009136994064268648,1.0013238917390523
16,frozenset({'favorit'}),frozenset({'movi'}),0.7159703504043127,0.046091644204851755,0.030660377358490566,0.042823529411764705,0.9290952872377021,-0.002339873293568051,0.9965856716148919
17,frozenset({'movi'}),frozenset({'favorit'}),0.046091644204851755,0.7159703504043127,0.030660377358490566,0.665204678362573,0.929095287237702,-0.002339873293568051,0.8483680363469436
